label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60
1,-0.727139,-0.687098,-0.728647,-0.929149,-0.550089,-0.524859,-0.185065,-0.318192,-0.101436,-0.428571,-0.625691,-0.60551,-0.408666,-0.923275,-0.873809,-0.570324,-0.429904,-0.454753,-0.0355565,-0.113656,0.111088,-0.00787241,-0.202077,0.0882082,0.326025,0.210265,0.391533,0.604776,0.348823,-0.308831,-0.820163,-0.505729,-0.0246771,0.554849,0.700726,0.698992,0.386617,0.188312,-0.0360531,-0.427669,-0.965258,-0.321612,-0.269365,0.0966246,-0.249076,-0.619857,-0.619341,-0.195568,-0.613327,-0.214545,-0.537849,-0.945792,-0.688312,-0.128655,-0.70068,-0.164103,0.00568182,-0.629291,-0.509642,-0.879908
1,-0.353982,-0.556794,-0.455979,-0.699952,-0.433934,0.333512,0.14881,0.510915,-0.0339109,-0.210925,0.312633,0.851114,0.938966,0.55182,0.491223,0.889273,1,0.766026,0.584263,0.532962,-0.00927487,-0.216236,-0.280704,-0.247003,-0.383197,-0.497962,-0.413804,-0.488884,-0.131696,-0.698519,-0.279346,-0.428668,-0.683503,-0.548702,-0.77846,-0.172984,-0.238137,-0.859832,-0.69028,-0.596296,-0.695657,-0.871306,-0.637657,-0.58052,-0.823429,-0.944323,-0.808041,-0.555556,-0.587077,-0.852121,-0.750996,-0.783167,-0.563636,-0.777778,-0.600907,-0.0410256,-0.221591,-0.789474,-0.719008,-0.82448
1,-0.635693,-0.506215,-0.287779,-0.512601,-0.539944,0.170653,0.297619,0.638809,0.635717,0.739168,0.713881,1,0.543112,0.0409405,0.29361,0.377773,0.32836,0.491117,0.774669,0.704409,0.572934,0.332788,-0.209495,-0.301506,0.0432377,-0.671329,-0.0358231,0.698024,0.195617,0.683392,0.750409,0.042687,-0.709125,-0.470694,-0.179912,-0.402621,0.26066,0.325361,0.0550285,0.00261438,-0.00706427,-0.381929,-0.449373,-0.427467,-0.399773,-0.951728,-0.511771,-0.554358,-0.868753,-0.74303,-0.934263,-0.360913,-0.163636,-0.502924,-0.210884,0.230769,0.778409,-0.263158,-0.482094,-0.667436
1,-0.874631,-0.858551,-0.600526,-0.9301,-0.930003,-0.857028,-0.423701,-0.461521,-0.845106,-0.670814,-0.832128,-0.485346,-1,-0.589976,-0.659344,-0.599227,-0.928712,-0.603948,-0.249737,-0.290026,-0.530143,-0.290257,0.0581753,-0.0560393,-0.405738,-0.0278665,0.00325664,-0.539728,-0.605114,-0.372323,0.25951,0.558302,0.185131,-0.303657,-0.236985,-0.408871,0.105839,0.753353,1,0.971678,0.334337,0.208791,-0.169792,-0.174955,0.221211,0.00219419,-0.0383919,-0.0560048,-0.312468,-0.287273,-0.51992,-0.677603,-0.838961,-0.181287,-0.641723,-0.646154,-0.732955,-0.812357,-0.785124,-0.487298
1,0.10177,-0.434205,-0.693824,-0.840228,-0.73472,-0.705993,-0.363636,0.0637266,0.0333185,0.242957,0.0954204,0.0890973,0.172305,-0.203465,-0.0978032,0.0510889,0.441716,0.208935,-0.676415,-0.148116,-0.233558,-0.167161,0.0950514,0.0572687,-0.401434,-0.699526,0.368631,1,0.444399,-0.124108,0.00730245,0.1357,-0.495117,-0.83699,-0.646517,-0.173185,-0.0699759,-0.410627,-0.481973,-0.496078,-0.625014,-0.41685,-0.522307,-0.783303,-0.803241,-0.855184,-0.870699,-0.949087,-0.767794,-0.888485,-0.689243,-0.934379,-0.745455,-0.444444,-0.528345,-0.94359,-0.607955,-0.79405,-0.415978,-0.593533
1,-0.600295,-0.616802,-0.827858,-0.944841,-0.839209,-0.522709,-0.367965,-0.215877,-0.398786,-0.163163,-0.234652,0.176436,0.773139,0.634526,1,1,0.898042,0.797403,0.418052,-0.0440925,-0.670742,-0.229936,0.12896,-0.460506,-0.630533,0.0708228,0.0312008,-0.286538,-0.337054,-0.051028,0.111281,-0.0172995,-0.40733,-0.579014,-0.757799,-0.440323,-0.24426,-0.214932,-0.223487,-0.307407,-0.456398,-0.366545,-0.813009,-0.68101,-0.661075,-0.701317,-0.774357,-0.704103,-0.733468,-0.803636,-0.792829,-0.894437,-0.953247,-0.836257,-0.968254,-0.564103,-0.693182,-0.89016,-0.724518,-0.741339
1,-0.554572,-0.185598,-0.141919,-0.35806,-0.184885,-0.135716,-0.622294,-0.406395,-0.405301,-0.027599,-0.5755,-0.876319,-0.905283,-0.282458,0.0809509,0.0742927,-0.00507719,-0.192312,-0.678098,-0.234375,0.520025,0.945813,0.870722,0.0900522,0.0303279,0.300804,0.0992751,0.0590778,-0.587459,-0.672739,0.161635,0.329814,-0.477476,-0.647907,-0.438273,0.0247984,0.268751,-0.188936,0.0769555,0.310675,0.0786335,-0.433211,-0.493857,-0.549343,-0.629229,-0.836259,-0.592901,-0.372866,-0.488137,-0.614545,-0.611554,-0.449358,0.262338,-0.292398,-0.709751,-0.312821,-0.494318,-0.359268,-0.807163,-0.551963
1,-0.256637,-0.535362,-0.456636,-0.875892,-0.446614,-0.559258,-0.462121,-0.753914,-0.588331,-0.220649,-0.287395,-0.164713,-0.288038,-0.272352,0.12248,-0.142276,-0.529997,-0.828779,0.300652,0.872003,0.543002,0.0495859,0.323726,0.830755,0.510861,0.607886,0.763,0.195348,-0.427151,-0.8956,-0.817766,-0.950573,-0.892261,-0.19576,-0.295694,-0.804435,-0.657993,-0.262348,-0.174151,-0.470806,-0.816792,-0.477411,-0.514031,-0.629735,-0.389821,-0.352715,-0.592539,-0.847859,-0.712267,-0.568485,-0.896414,-0.791726,-0.402597,-0.795322,-0.478458,-0.523077,-0.534091,-0.798627,-0.741047,-0.78291
1,-0.693215,-0.683669,-0.691853,-0.801712,-0.705808,-0.737167,-0.61039,-0.981036,-0.819636,-0.607036,-0.754147,-0.584408,0.0505254,-0.314221,-0.662554,-0.80175,-1,-0.289143,0.453187,0.983947,0.958263,0.773029,0.303168,-0.170782,-0.357787,0.41976,0.918269,0.455126,-0.0438312,-0.790988,-0.449591,-0.170523,-0.434422,-0.344356,-0.348471,-0.575403,-0.538159,-0.512738,-0.724014,-0.417211,-0.490909,-0.588767,-0.451442,-0.716826,-0.719932,-0.651399,-0.471568,-0.302785,-0.215548,0.0642424,-0.878486,-0.60913,-0.361039,-0.210526,-0.764172,-0.769231,-0.647727,-0.588101,-0.680441,-0.926097
1,-0.780236,-0.856837,-0.781866,-0.994294,-0.939133,-0.694168,-0.446429,-0.716869,-0.737302,-0.960532,-0.854814,-0.759672,-0.688499,-0.872744,-0.966496,-0.802361,-0.486685,-0.405922,-0.42268,-0.212971,0.171164,0.519885,0.83109,0.942424,0.8375,0.459192,0.640508,0.77501,0.453937,0.33866,0.165559,0.0179735,-0.448913,-0.980074,-0.995704,-0.792742,-0.728187,-0.794531,-0.931478,-0.927015,-0.93978,-0.666667,-0.586965,-0.643391,-0.894228,-0.8113,-0.685983,-0.692722,-0.907118,-0.52,-0.76494,-0.766049,0.132468,-0.0116959,-0.646259,-0.671795,-0.835227,-0.853547,-0.69697,-0.842956
